speech_id,person_id,surname
2924083,136,markey
2924084,136,markey
2924085,18413,corker
2924086,18905,barrasso
2924087,18905,barrasso
2924088,18905,barrasso
2924089,18905,barrasso
2924090,18905,barrasso
2924091,18905,barrasso
2924092,18905,barrasso
2924093,18905,barrasso
2924094,18413,corker
2924095,14903,murphy
2924096,14903,murphy
2924097,14903,murphy
2924098,14903,murphy
2924099,18413,corker
2924100,24982,johnson
2924101,24982,johnson
2924102,24982,johnson
2924103,24982,johnson
2924104,24982,johnson
2924105,24982,johnson
2924106,24982,johnson
2924107,24982,johnson
2924108,24982,johnson
2924109,24982,johnson
2924110,24982,johnson
2924111,24982,johnson
2924112,18413,corker
2924113,30615,kaine
2924114,30615,kaine
2924115,18413,corker
2924116,18413,corker
2924117,4622,shaheen
2924118,4622,shaheen
2924119,4622,shaheen
2924120,4622,shaheen
2924121,4622,shaheen
2924122,18413,corker
2924123,5134,flake
2924124,18413,corker
2924125,27586,coons
2924126,27586,coons
2924127,27586,coons
2924128,18413,corker
2924129,27586,coons
2924130,18413,corker
2924131,25615,paul
2924132,25615,paul
2924133,18413,corker
2924134,2442,udall
2924135,2442,udall
2924136,2442,udall
2924137,2442,udall
2924138,18413,corker
2924139,27291,rubio
2924140,27291,rubio
2924141,27291,rubio
2924142,18413,corker
2924143,27291,rubio
2924144,2437,menendez
2924145,27291,rubio
2924146,27291,rubio
2924147,27291,rubio
2924148,27291,rubio
2924149,27291,rubio
2924150,18413,corker
2924151,24028,risch
2924152,24028,risch
2924153,24028,risch
2924154,18413,corker
2924155,2437,menendez
2924156,2437,menendez
2924157,2437,menendez
2924158,2437,menendez
2924159,2437,menendez
2924160,2437,menendez
2924161,2437,menendez
2924162,18413,corker
2924163,18413,corker
2924164,24982,johnson
2924165,24982,johnson
2924166,4622,shaheen
2924167,4622,shaheen
2924168,24982,johnson
2924169,24982,johnson
2924170,24982,johnson
2924171,24982,johnson
2924172,24982,johnson
2924173,24982,johnson
2924174,24982,johnson
2924175,24982,johnson
2924176,24982,johnson
2924177,24982,johnson
2924178,24982,johnson
2924179,24982,johnson
2924180,24982,johnson
2924181,4622,shaheen
2924182,4622,shaheen
2924183,4622,shaheen
2924184,4622,shaheen
2924185,4622,shaheen
2924186,4622,shaheen
2924187,24982,johnson
2924188,11538,gardner
2924189,11538,gardner
2924190,11538,gardner
2924191,11538,gardner
2924192,11538,gardner
2924193,24982,johnson
2924194,14903,murphy
2924195,14903,murphy
2924196,24982,johnson
2924197,14903,murphy
2924198,14903,murphy
2924199,24982,johnson
2924200,31144,kaine
2924201,31144,kaine
2924202,31144,kaine
2924203,31144,kaine
2924204,31144,kaine
2924205,31144,kaine
2924206,24982,johnson
2924207,24982,johnson
2924208,31144,kaine
2924209,31144,kaine
2924210,24982,johnson
2924211,24982,johnson
2924212,24982,johnson
2924213,24982,johnson
2924214,4622,shaheen
2924215,4622,shaheen
2924216,4622,shaheen
2924217,4622,shaheen
2924218,4622,shaheen
2924219,24982,johnson
2924220,24982,johnson
2924221,24982,johnson
2924222,24982,johnson
2924223,24982,johnson
2924224,24982,johnson
2924225,24982,johnson
2924226,18413,corker
2924227,182,cardin
2924228,182,cardin
2924229,18413,corker
2924230,182,cardin
2924231,182,cardin
2924232,182,cardin
2924233,182,cardin
2924234,182,cardin
2924235,11538,gardner
2924236,11538,gardner
2924237,11538,gardner
2924238,11538,gardner
2924239,11538,gardner
2924240,11538,gardner
2924241,14903,murphy
2924242,14903,murphy
2924243,14903,murphy
2924244,14903,murphy
2924245,14903,murphy
2924246,34505,perdue
2924247,34505,perdue
2924248,34505,perdue
2924249,34505,perdue
2924250,34505,perdue
2924251,182,cardin
2924252,182,cardin
2924253,182,cardin
2924254,182,cardin
2924255,182,cardin
2924256,182,cardin
2924257,182,cardin
2924258,182,cardin
2924259,182,cardin
2924260,11538,gardner
2924261,11538,gardner
2924262,11538,gardner
2924263,11538,gardner
2924264,11538,gardner
2924265,11538,gardner
2924266,18905,barrasso
2924267,2442,udall
2924268,18905,barrasso
2924269,18905,barrasso
2924270,18905,barrasso
2924271,18905,barrasso
2924272,18905,barrasso
2924273,18905,barrasso
2924274,18905,barrasso
2924275,18905,barrasso
2924276,18905,barrasso
2924277,18905,barrasso
2924278,18905,barrasso
2924279,2442,udall
2924280,2442,udall
2924281,2442,udall
2924282,2442,udall
2924283,18905,barrasso
2924284,11538,gardner
2924285,11538,gardner
2924286,11538,gardner
2924287,11538,gardner
2924288,18905,barrasso
2924289,18905,barrasso
2924290,18905,barrasso
2924291,18905,barrasso
2924292,18905,barrasso
2924293,18905,barrasso
2924294,18905,barrasso
2924295,18905,barrasso
2924296,2442,udall
2924297,2442,udall
2924298,2442,udall
2924299,2442,udall
2924300,2442,udall
2924301,18905,barrasso
2924302,136,markey
2924303,136,markey
2924304,136,markey
2924305,136,markey
2924306,136,markey
2924307,18905,barrasso
2924308,18905,barrasso
2924309,18905,barrasso
2924310,18905,barrasso
2924311,18905,barrasso
2924312,18905,barrasso
2924313,18905,barrasso
2924314,18905,barrasso
2924315,18905,barrasso
2924316,18905,barrasso
2924317,2442,udall
2924318,2442,udall
2924319,2442,udall
2924320,2442,udall
2924321,2442,udall
2924322,18905,barrasso
2924323,18905,barrasso
2924324,2442,udall
2924325,2442,udall
2924326,2442,udall
2924327,2442,udall
2924328,18905,barrasso
2924329,18413,corker
2924330,18413,corker
2924331,18413,corker
2924332,18413,corker
2924333,18413,corker
2924334,18413,corker
2924335,18413,corker
2924336,18413,corker
2924337,18413,corker
2924338,18413,corker
2924339,18413,corker
2924340,18413,corker
2924341,18413,corker
2924342,18413,corker
2924343,1132,collins
2924344,1132,collins
2924345,1132,collins
2924346,18413,corker
2924347,18413,corker
2924348,18413,corker
2924349,18413,corker
2924350,18413,corker
2924351,4015,roberts
2924352,4015,roberts
2924353,4015,roberts
2924354,18413,corker
2924355,18413,corker
2924356,18413,corker
2924357,18413,corker
2924358,18413,corker
2924359,18413,corker
2924360,18413,corker
2924361,18413,corker
2924362,18413,corker
2924363,18413,corker
2924364,18413,corker
2924365,18413,corker
2924366,18413,corker
2924367,18413,corker
2924368,18413,corker
2924369,18413,corker
2924370,18413,corker
2924371,18413,corker
2924372,18413,corker
2924373,18413,corker
2924374,18413,corker
2924375,18413,corker
2924376,18413,corker
2924377,18413,corker
2924378,18413,corker
2924379,18413,corker
2924380,18413,corker
2924381,18413,corker
2924382,8603,alexander
2924383,1847,murray
2924384,18413,corker
2924385,24565,jones
2924386,18413,corker
2924387,24565,jones
2924388,24565,jones
2924389,18413,corker
2924390,18413,corker
2924391,5396,isakson
2924392,18413,corker
2924393,5396,isakson
2924394,18413,corker
2924395,18413,corker
2924396,34536,richburg-hayes
2924397,18413,corker
2924398,24565,jones
2924399,18413,corker
2924400,24565,jones
2924401,18413,corker
2924402,18413,corker
2924403,18413,corker
2924404,18413,corker
2924405,1847,murray
2924406,34536,richburg-hayes
2924407,1847,murray
2924408,1847,murray
2924409,1847,murray
2924410,24565,jones
2924411,1847,murray
2924412,18413,corker
2924413,1132,collins
2924414,24565,jones
2924415,1132,collins
2924416,1132,collins
2924417,1132,collins
2924418,34536,richburg-hayes
2924419,1132,collins
2924420,18413,corker
2924421,14903,murphy
2924422,24565,jones
2924423,14903,murphy
2924424,14903,murphy
2924425,18413,corker
2924426,34536,richburg-hayes
2924427,24565,jones
2924428,24565,jones
2924429,24565,jones
2924430,18413,corker
2924431,2367,baldwin
2924432,2367,baldwin
2924433,24565,jones
2924434,2367,baldwin
2924435,2367,baldwin
2924436,34536,richburg-hayes
2924437,2367,baldwin
2924438,18413,corker
2924439,24165,bennet
2924440,24165,bennet
2924441,24165,bennet
2924442,24165,bennet
2924443,24165,bennet
2924444,24165,bennet
2924445,18413,corker
2924446,14402,warren
2924447,24565,jones
2924448,14402,warren
2924449,14402,warren
2924450,14402,warren
2924451,24565,jones
2924452,14402,warren
2924453,24565,jones
2924454,14402,warren
2924455,18413,corker
2924456,1847,murray
2924457,18413,corker
2924458,1132,collins
2924459,1132,collins
2924460,1132,collins
2924461,1132,collins
2924462,1132,collins
2924463,1132,collins
2924464,1132,collins
2924465,1132,collins
2924466,1132,collins
2924467,1132,collins
2924468,1132,collins
2924469,1132,collins
2924470,1132,collins
2924471,1132,collins
2924472,1132,collins
2924473,1132,collins
2924474,1132,collins
2924475,18413,corker
2924476,18413,corker
2924477,18413,corker
2924478,18413,corker
2924479,18413,corker
2924480,18413,corker
2924481,18413,corker
2924482,18413,corker
2924483,18413,corker
2924484,18413,corker
2924485,18413,corker
2924486,18413,corker
2924487,18413,corker
2924488,24982,johnson
2924489,2367,baldwin
2924490,24982,johnson
2924491,34549,bohn
2924492,24982,johnson
2924493,34550,westlake
2924494,24982,johnson
2924495,34550,westlake
2924496,24982,johnson
2924497,24982,johnson
2924498,24982,johnson
2924499,24982,johnson
2924500,34552,badura
2924501,24982,johnson
2924502,24982,johnson
2924503,24982,johnson
2924504,24982,johnson
2924505,24982,johnson
2924506,24982,johnson
2924507,24982,johnson
2924508,24982,johnson
2924509,34552,badura
2924510,24982,johnson
2924511,34549,bohn
2924512,24982,johnson
2924513,34550,westlake
2924514,24982,johnson
2924515,24982,johnson
2924516,24982,johnson
2924517,2367,baldwin
2924518,34552,badura
2924519,2367,baldwin
2924520,34552,badura
2924521,2367,baldwin
2924522,34552,badura
2924523,2367,baldwin
2924524,34552,badura
2924525,2367,baldwin
2924526,2367,baldwin
2924527,34550,westlake
2924528,24982,johnson
2924529,34550,westlake
2924530,24982,johnson
2924531,34550,westlake
2924532,24982,johnson
2924533,2367,baldwin
2924534,34550,westlake
2924535,34550,westlake
2924536,2367,baldwin
2924537,34550,westlake
2924538,2367,baldwin
2924539,34549,bohn
2924540,2367,baldwin
2924541,24982,johnson
2924542,24982,johnson
2924543,24982,johnson
2924544,24982,johnson
2924545,20402,kerlikowske
2924546,24982,johnson
2924547,20402,kerlikowske
2924548,24982,johnson
2924549,34553,schimel
2924550,24982,johnson
2924551,34554,erpenbach
2924552,24982,johnson
2924553,34555,nygren
2924554,24982,johnson
2924555,20402,kerlikowske
2924556,24982,johnson
2924557,20402,kerlikowske
2924558,24982,johnson
2924559,20402,kerlikowske
2924560,24982,johnson
2924561,20402,kerlikowske
2924562,24982,johnson
2924563,20402,kerlikowske
2924564,24982,johnson
2924565,2367,baldwin
2924566,20402,kerlikowske
2924567,2367,baldwin
2924568,20402,kerlikowske
2924569,2367,baldwin
2924570,24982,johnson
2924571,20402,kerlikowske
2924572,24982,johnson
2924573,34553,schimel
2924574,24982,johnson
2924575,34553,schimel
2924576,24982,johnson
2924577,34553,schimel
2924578,24982,johnson
2924579,34553,schimel
2924580,24982,johnson
2924581,34553,schimel
2924582,24982,johnson
2924583,34553,schimel
2924584,24982,johnson
2924585,34554,erpenbach
2924586,2367,baldwin
2924587,24982,johnson
2924588,2367,baldwin
2924589,34554,erpenbach
2924590,24982,johnson
2924591,34554,erpenbach
2924592,24982,johnson
2924593,34554,erpenbach
2924594,24982,johnson
2924595,34555,nygren
2924596,24982,johnson
2924597,34555,nygren
2924598,24982,johnson
2924599,34555,nygren
2924600,24982,johnson
2924601,34555,nygren
2924602,24982,johnson
2924603,2367,baldwin
2924604,34553,schimel
2924605,2367,baldwin
2924606,34553,schimel
2924607,2367,baldwin
2924608,34553,schimel
2924609,2367,baldwin
2924610,2367,baldwin
2924611,34554,erpenbach
2924612,2367,baldwin
2924613,34555,nygren
2924614,2367,baldwin
2924615,24982,johnson
2924616,2367,baldwin
2924617,24982,johnson
2924618,34556,simon
2924619,99,portman
2924620,99,portman
2924621,99,portman
2924622,34557,dewine
2924623,34558,rendon
2924624,34559,plouck
2924625,99,portman
2924626,34557,dewine
2924627,99,portman
2924628,34558,rendon
2924629,99,portman
2924630,34559,plouck
2924631,99,portman
2924632,99,portman
2924633,34559,plouck
2924634,34559,plouck
2924635,34559,plouck
2924636,34559,plouck
2924637,34557,dewine
2924638,34558,rendon
2924639,99,portman
2924640,34557,dewine
2924641,34558,rendon
2924642,34557,dewine
2924643,99,portman
2924644,34558,rendon
2924645,99,portman
2924646,34560,walsh
2924647,99,portman
2924648,99,portman
2924649,99,portman
2924650,99,portman
2924651,34560,walsh
2924652,99,portman
2924653,3473,young
2924654,99,portman
2924655,3473,young
2924656,3473,young
2924657,99,portman
2924658,3473,young
2924659,99,portman
2924660,3473,young
2924661,99,portman
2924662,3473,young
2924663,99,portman
2924664,3473,young
2924665,3473,young
2924666,3473,young
2924667,99,portman
2924668,99,portman
2924669,3473,young
2924670,3473,young
2924671,99,portman
2924672,3473,young
2924673,99,portman
2924674,34563,brandt
2924675,34560,walsh
2924676,34561,kotz
2924677,99,portman
2924678,34561,kotz
2924679,99,portman
2924680,34561,kotz
2924681,34562,metz
2924682,99,portman
2924683,34562,metz
2924684,99,portman
2924685,24982,johnson
2924686,2367,baldwin
2924687,24982,johnson
2924688,31606,gibson
2924689,34564,missal
2924690,24982,johnson
2924691,31606,gibson
2924692,24982,johnson
2924693,34564,missal
2924694,24982,johnson
2924695,31606,gibson
2924696,24982,johnson
2924697,31606,gibson
2924698,24982,johnson
2924699,31606,gibson
2924700,24982,johnson
2924701,31606,gibson
2924702,24982,johnson
2924703,31606,gibson
2924704,24982,johnson
2924705,31606,gibson
2924706,24982,johnson
2924707,24982,johnson
2924708,24982,johnson
2924709,24982,johnson
2924710,24982,johnson
2924711,24982,johnson
2924712,24982,johnson
2924713,24982,johnson
2924714,2367,baldwin
2924715,2367,baldwin
2924716,2367,baldwin
